년도,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65세 이상
1990,9.2,6.3,3.9,1.8,1.4,1.4,1.0,1.1,0.9,0.6,0.2
1991,9.3,6.8,3.5,1.4,1.2,1.2,1.2,1.0,0.7,0.6,0.2
1992,10.3,6.9,3.9,1.6,1.3,1.2,1.1,1.0,0.7,0.7,0.1
1993,11.0,8.5,4.6,2.0,1.6,1.3,1.1,1.1,0.7,0.6,0.2
1994,9.3,6.8,4.2,1.7,1.5,1.4,1.2,0.9,0.7,0.5,0.1
1995,7.9,6.0,3.0,1.4,1.3,1.1,1.0,0.9,1.0,0.7,0.1
1996,7.4,5.9,3.4,1.6,1.2,1.1,1.0,1.0,0.7,0.4,0.3
1997,9.8,7.1,4.1,2.0,1.7,1.7,1.2,1.3,1.2,1.0,0.6
1998,20.8,14.8,9.3,5.9,5.5,5.5,5.5,5.9,4.6,3.2,1.5
1999,19.5,12.7,8.5,5.7,4.9,5.2,5.1,5.1,5.1,3.6,0.9
2000,13.8,9.3,5.7,3.8,3.1,3.2,3.5,2.9,3.1,2.1,0.5
2001,13.3,8.8,5.7,3.2,2.9,2.9,2.7,2.8,2.3,1.8,0.4
2002,11.1,7.5,5.5,3.2,2.4,2.1,1.6,1.9,1.6,1.5,0.5
2003,12.1,9.2,6.1,3.3,2.4,2.1,2.0,1.9,2.2,1.5,0.4
2004,13.3,9.4,6.2,3.2,2.6,2.1,2.2,1.9,2.4,1.5,0.6
2005,11.4,9.3,6.1,3.5,2.8,2.4,2.4,2.2,2.6,1.9,0.6
2006,9.9,9.4,6.2,3.6,2.3,2.2,2.2,1.9,2.2,2.1,0.6
2007,8.1,8.1,5.9,3.6,2.6,2.1,1.7,1.9,1.9,2.2,0.6
2008,9.3,8.8,5.7,3.5,2.6,2.1,1.9,1.8,1.9,1.6,0.7
2009,11.1,8.8,6.7,3.9,3.0,2.3,2.2,2.4,2.3,2.0,0.9
2010,10.3,8.6,6.4,3.9,2.8,2.4,2.1,2.1,2.4,2.9,1.9
2011,9.5,8.5,5.8,3.6,2.6,2.0,1.8,1.9,1.9,2.6,1.7
2012,7.5,8.0,5.9,2.8,2.5,2.0,1.7,1.8,2.0,2.4,1.6
2013,8.8,8.2,6.4,3.3,2.0,2.0,1.7,1.6,1.8,2.0,1.1
2014,7.6,9.1,7.4,3.2,2.5,2.0,2.1,1.9,2.2,2.2,1.6
